Column1,Candidate,Constituency,Party,CriminalCase,Education,TotalAssets,Liabilities,,,,,,,,
274,Ashwini Kumar,Karnal,BJP,6,Graduate,698638135,153937858,,,,,,,,
275,Thambidurai.M,Karur,AIADMK,2,Doctorate,132457262,51481886,,,,,,,,
276,P Karunakaran,Kasaragod,CPI(M),6,Post Graduate,5900345,0,,,,,,,,
277,Shah Tariq Anwar,Katihar,NCP,1,Graduate,104600951,20454853,,,,,,,,
278,Vinod Kumar,Kaushambi,BJP,0,Graduate,27091681,10932227,,,,,,,,
279,Sri Baijayant Panda,Kendrapara,BJD,0,Graduate Professional,312432726,300000,,,,,,,,
280,Sakuntala Laguri,Kendujhar,BJD,0,10th Pass,101531625,0,,,,,,,,
281,Ranjit Singh Brahmpura,Khadoor Sahib,SAD,0,8th Pass,177814755,4200000,,,,,,,,
282,Choudhary Mahboob Ali Kaiser,Khagaria,LJP,1,Graduate,66569502,0,,,,,,,,
283,Nagendra Singh,Khajuraho,BJP,0,Graduate,44538002,0,,,,,,,,
284,Ponguleti Srinivasa Reddy,Khammam,Yuvajana Sramika Rythu Congress Party,0,12th Pass,346150516,1240000,,,,,,,,
285,Nandkumar Singh Chouhan,Khandwa,BJP,0,Post Graduate,40188989,9561188,,,,,,,,
286,Subhash Patel,Khargone,BJP,0,Post Graduate,36138699,2300000,,,,,,,,
287,Chauhan Devusinh Jesingbhai,Kheda,BJP,0,12th Pass,9426376,1047919,,,,,,,,
288,Ajay Kumar,Kheri,BJP,2,Graduate Professional,26505977,10000000,,,,,,,,
289,Karia Munda,Khunti,BJP,0,Post Graduate,7474796,0,,,,,,,,
290,Mohammad Asrarul Haque,Kishanganj,INC,2,Post Graduate,4616629,0,,,,,,,,
291,Ravindra Kumar Ray,Kodarma,BJP,0,Doctorate,10564046,200000,,,,,,,,
292,Naba Kumar Sarania,Kokrajhar,IND,3,12th Pass,2155559,0,,,,,,,,
293,K H Muniyappa,Kolar,INC,0,Graduate Professional,184663000,27863000,,,,,,,,
294,Dhananjay Bhimrao Mahadik,Kolhapur,NCP,1,Graduate,448882000,71333000,,,,,,,,
295,Subrata Bakshi,Kolkata Dakshin,AITC,0,Graduate Professional,10265428,168891,,,,,,,,
296,Sudip Bandyopadhyay,Kolkata Uttar,AITC,1,Graduate,22086278,450000,,,,,,,,
297,N.K.Premachandran,Kollam,P,1,Graduate Professional,16228989,3114638,,,,,,,,
298,Sanganna A. Karadi,Koppal,BJP,1,10th Pass,12127000,6848000,,,,,,,,
299,Jhina Hikaka,Koraput,BJD,0,Post Graduate,8800000,0,,,,,,,,
300,Dr. Banshilal Mahato,Korba,BJP,0,Graduate Professional,72303762,382905,,,,,,,,
301,Om Birla,Kota,BJP,2,Post Graduate,25870497,997366,,,,,,,,
302,Jose K Mani,Kottayam,KC(M),0,Post Graduate,26236371,0,,,,,,,,
303,M .K Raghavan,Kozhikode,INC,0,Graduate,6164901,1558128,,,,,,,,
304,Ashok Kumar.K,Krishnagiri,AIADMK,3,10th Pass,1176436,0,,,,,,,,
305,Tapas Paul,Krishnanagar,AITC,4,Graduate,27829669,0,,,,,,,,
306,Butta Renuka,Kurnool,Yuvajana Sramika Rythu Congress Party,1,10th Pass,2426240513,312279927,,,,,,,,
307,Rajkumar Saini,Krukshetra,BJP,0,Graduate,132880476,23262108,,,,,,,,
308,Rajesh Pandey Urf Guddu,Kushi Nagar,BJP,0,Graduate,110407014,1107357,,,,,,,,
309,Thupstan Chhewang,Leh (Ladakh),BJP,0,Graduate Professional,19852701,80000,,,,,,,,
310,Sarbananda Sonowal,Lakhimpur,BJP,0,Graduate Professional,14497515,0,,,,,,,,
311,Mohammed Faizal.P.P,Lakshadweep,NCP,3,Post Graduate,538119,0,,,,,,,,
312,Neelam,Lalganj,BJP,1,Post Graduate,33863562,2631312,,,,,,,,
313,Gaikwad Sunil Baliram,Latur,BJP,0,Doctorate,17463251,0,,,,,,,,
314,Sudahan Bhagat,Lohardaga,BJP,0,Graduate,9031009,178967,,,,,,,,
315,Raj Nath Singh,Lucknow,BJP,0,Post Graduate,29240729,0,,,,,,,,
316,Ravneet Singh Bittu,Ludhiana,INC,0,12th Pass,31509170,192000,,,,,,,,
317,Ram Charitra Nishad,Machhlishahr,BJP,0,12th Pass,8641278,0,,,,,,,,
318,Konakalla Narayana Rao,Machilipatnam,TDP,0,12th Pass,34850000,9800000,,,,,,,,
319,Mohite Patil Vijaysinh Shankarrao,Madha,NCP,1,10th Pass,170253390,9774791,,,,,,,,
320,Rajesh Ranjan Urf Pappu Yadav,Madhepura,RJD,24,Graduate,81242966,956306,,,,,,,,
321,Hukum Deo Narayan Yadav,Madhubani,BJP,0,Graduate,77978890,0,,,,,,,,
322,R.Gopalakrishnan,Madurai,AIADMK,0,Graduate,72503060,7406366,,,,,,,,
323,Prof. Azmeera Seetaram Naik,Mahabubabad,T,0,Doctorate,8008000,4100000,,,,,,,,
324,Janardan Singh Sigriwal,Maharajganj,BJP,4,Graduate,4795223,14000,,,,,,,,
325,Pankaj,Maharajganj,BJP,0,12th Pass,191819151,2151048,,,,,,,,
326,Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,Mahasamund,BJP,0,Graduate Professional,20879652,2700000,,,,,,,,
327,A P Jithender Reddy,Mahbubnagar,T,4,Graduate,140831576,1386969,,,,,,,,
328,Patel Jayshreeben Kanubhai,Mahesana,BJP,0,10th Pass,13278493,1814057,,,,,,,,
329,Mulayam Singh Yadav,Mainpuri,SP,0,Post Graduate,159671544,0,,,,,,,,
330,E. Ahamed,Malappuram,IUML,0,Graduate Professional,11818952,0,,,,,,,,
331,Abu Hasem Kahn Chowdhury,Maldah Dakshin,INC,0,Doctorate,11560825,654320,,,,,,,,
332,Mausam Noor,Maldah Uttar,INC,0,Graduate Professional,9778222,28534,,,,,,,,
333,Ch.Malla Reddy,Malkajgiri,TDP,0,12th Pass,488525332,6328146,,,,,,,,
334,Ram Swaroop Sharma,Mandi,BJP,0,10th Pass,10178871,571823,,,,,,,,
335,Faggan Singh Kulaste,Mandla,BJP,2,Post Graduate,25738420,98311,,,,,,,,
336,Sudhir Gupta,Mandsaur,BJP,0,Post Graduate,57429237,3058993,,,,,,,,
337,C.S.Puttaraju,Mandya,JD(S),0,12th Pass,45209196,11231000,,,,,,,,
338,Ramen Deka,Mangaldoi,BJP,0,Graduate,14782357,5400953,,,,,,,,
339,Deol Hema Malini Dharmendra,Mathura,BJP,0,Doctorate,1782015620,231234174,,,,,,,,
340,Choudhury Mohan Jatua,Mathurapur,AITC,0,Post Graduate,4857752,0,,,,,,,,
341,Barne Shrirang Chandu,Maval,SHS,2,8th Pass,665047926,11799786,,,,,,,,
342,Kodikunnil Suresh,Mavelikkara,INC,1,Graduate Professional,13251330,3439654,,,,,,,,
343,Bharathi Mohan R.K,Mayiladuthurai,AIADMK,1,12th Pass,7378589,969756,,,,,,,,
344,Rama Chandra Hansdah,Mayurbhanj,BJD,0,Graduate,3630888,0,,,,,,,,
345,Kalvakuntla Chandrashekar Rao,Medak,T,2,Graduate,151582464,78753620,,,,,,,,
346,Sandhya Roy,Medinipur,AITC,0,Literate,31031095,0,,,,,,,,
347,Rajendra Agarwal,Meerut,BJP,2,Post Graduate,8803517,3074600,,,,,,,,
348,Anupriya Singh Patel,Mirzapur,Apna Dal,2,Post Graduate,26858156,1805603,,,,,,,,
349,Anju Bala,Misrikh,BJP,0,Post Graduate,37618214,1200000,,,,,,,,
350,C. L. Ruala,Mizoram,INC,0,Graduate,25733421,0,,,,,,,,
351,Kaushal Kishore,Mohanlalganj,BJP,2,12th Pass,21128221,0,,,,,,,,
352,Kunwar Sarvesh Kumar,Moradabad,BJP,4,10th Pass,72866898,600000,,,,,,,,
353,Anoop Mishra,Morena,BJP,0,12th Pass,110523112,6878160,,,,,,,,
354,Gopal Chinayya Shetty,Mumbai North,BJP,10,5th Pass,95617889,0,,,,,,,,
355,Poonam Mahajan Alias Poonam Vajendla Rao,Mumbai North-Central,BJP,0,Othe,1080867626,414479088,,,,,,,,
356,Kirit Somaiya,Mumbai North-East,BJP,10,Doctorate,72156258,6593325,,,,,,,,
357,Gajanan Chandrakant Kirtikar,Mumbai North-West,SHS,0,Graduate,58352000,2257000,,,,,,,,
358,Sawant Arvind Ganpat,Mumbai South,SHS,1,Graduate,13067446,0,,,,,,,,
359,Shewale Rahul Ramesh,Mumbai South-Central,SHS,1,Othe,13304397,10502345,,,,,,,,
360,Veena Devi,Munger,LJP,0,8th Pass,31162836,0,,,,,,,,
361,Badaruddoza Khan,Murshidabad,CPI(M),0,Graduate Professional,2758610,0,,,,,,,,
362,Dr. Sanjeev Kumar Balyan,Muzaffarnagar,BJP,1,Doctorate,10794222,3090803,,,,,,,,
363,Ajay Nishad,Muzaffarpur,BJP,0,Graduate,145712654,989888,,,,,,,,
364,Prathap Simha,Mysore,BJP,0,Post Graduate,6321591,4399048,,,,,,,,
365,Balabhadra Majhi,Nabarangapur,BJD,0,Graduate,52977088,705404,,,,,,,,
366,Neiphiu Rio,Nagaland,NPF,0,Graduate,315834264,0,,,,,,,,
367,Gopal. Dr. K,Nagappattinam,AIADMK,0,Graduate Professional,19074709,13629120,,,,,,,,
368,Nandi Yellaiah,Nagarkurnool,INC,0,12th Pass,7048969,0,,,,,,,,
369,C R Choudhary,Nagaur,BJP,0,Post Graduate,17921949,0,,,,,,,,
370,Yashwant Singh,Nagina,BJP,0,Post Graduate,34806740,0,,,,,,,,
371,Gadkari Nitin Jairam,Nagpur,BJP,4,Graduate Professional,153704475,19004037,,,,,,,,
372,Bhagat Singh Koshyari,Nainital - Udhamsingh Nagar,BJP,0,Post Graduate,5562704,0,,,,,,,,
373,Kaushlendra Kumar,Nalanda,JD(U),0,12th Pass,11812717,477000,,,,,,,,
374,Gutha Sukhender Reddy,Nalgonda,INC,1,12th Pass,85907866,10103677,,,,,,,,
375,Sundaram P.R,Namakkal,AIADMK,0,Graduate,126539914,92677412,,,,,,,,
376,Shri Chavan Ashokrao Shankarrao,Nanded,INC,0,Post Graduate,388758910,30513286,,,,,,,,
377,Dr.Gavit Heena Vaijaykumar,Nandurbar,BJP,0,Graduate Professional,131103963,7571753,,,,,,,,
378,S.P.Y Reddy,Nandyal,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,219578079,1077820,,,,,,,,
379,Rayapati Sambasiva Rao,Narasaraopet,TDP,2,Graduate,595838093,56263516,,,,,,,,
380,Gokaraju Ganga Raju,Narsapuram,BJP,1,Graduate,2883567122,168501286,,,,,,,,
381,Godse Hement Tukaram,Nashik,SHS,1,12th Pass,83611067,23559648,,,,,,,,
382,Patil Chandrakant Raghunath,Navsari,BJP,7,10th Pass,744761133,405888122,,,,,,,,
383,Giriraj Singh,Nawada,BJP,1,Graduate,50054771,0,,,,,,,,
384,Mekapati Rajamohan Reddy,Nellore,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,361746068,0,,,,,,,,
385,Smt. Meenakshi Lekhi,New Delhi,BJP,0,Graduate Professional,349916470,3275562,,,,,,,,
386,"Gopalakrishnan, C.",Nilgiris,AIADMK,0,Post Graduate,10941189,1224754,,,,,,,,
387,Kalvakuntla Kavitha,Nizamabad,T,8,Graduate Professional,61955750,3213119,,,,,,,,
388,Manoj Tiwari,North East Delhi,BJP,0,Post Graduate,199483924,34645630,,,,,,,,
389,Shripad Yesso Naik,North Goa,BJP,0,Graduate,37019154,837843,,,,,,,,
390,Udit Raj,North West Delhi,BJP,1,Doctorate,44902363,0,,,,,,,,
391,Rajen Gohain,Nagaon,BJP,1,Graduate Professional,24736544,5328287,,,,,,,,
392,Yarram Venkata Subbareddy,Ongole,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,735451548,240557614,,,,,,,,
393,Gaikwad Ravindra Vishwanath,Osmanabad,SHS,8,Post Graduate,32852793,5962702,,,,,,,,
394,Thangso Baite,Outer Manipur,INC,0,Post Graduate,5947000,880000,,,,,,,,
395,M B Rajesh,Palakkad,CPI(M),11,Graduate Professional,4676316,700680,,,,,,,,
396,Vishnu Dayal Ram,Palamu,BJP,0,Graduate,24753886,0,,,,,,,,
397,Wanaga Chintaman Navasha,Palghar,BJP,0,Graduate Professional,5809644,401000,,,,,,,,
398,P P Choudhary,Pali,BJP,0,Graduate Professional,353503467,7892216,,,,,,,,
399,Chauhan Prabhatsinh Pratapsinh,Panch Mahals,BJP,3,10th Pass,10464000,0,,,,,,,,
400,Jadhav Sanjay (Bandu) Haribhau,Parbhani,SHS,7,10th Pass,31016711,5976851,,,,,,,,
401,Dr. Sanjay Jayaswal,Pashchim Champaran,BJP,2,Post Graduate,35941299,6197804,,,,,,,,
402,Ram Kripal Yadav,Pataliputra,BJP,1,Graduate,13989431,2100000,,,,,,,,
403,Vaghela Liladharbhai Khodaji,Patan,BJP,0,Graduate Professional,15384027,0,,,,,,,,
404,Anto Antony,Pathanamthitta,INC,0,Graduate,5410884,4211050,,,,,,,,
405,Dr.Dharam Vira Gandhi,Patiala,AAP,0,Graduate Professional,45115421,0,,,,,,,,
406,Shatrughan Sinha,Patna Sahib,BJP,1,Graduate,1317405961,168760929,,,,,,,,
407,Balka Suman,Peddapalle,T,1,Post Graduate,7351329,620770,,,,,,,,
408,R.P.Marutharajaa,Perambalur,AIADMK,0,Post Graduate,24570213,0,,,,,,,,
409,Keshav Prasad,Phulpur,BJP,11,Graduate,93244143,24381051,,,,,,,,
410,Maneka Sanjay Gandhi,Pilibhit,BJP,1,12th Pass,374132826,219202,,,,,,,,
411,Mahendran.C,Pollachi,AIADMK,0,Post Graduate,231430367,18128825,,,,,,,,
412,R. Radhakrishnan,Puducherry,All India N.R. Congress,0,Post Graduate,77724418,7658530,,,,,,,,
413,E. T. Mohammed Basheer,Ponnani,IUML,0,10th Pass,13216259,0,,,,,,,,
414,Radadiya Vithalbhai Hansrajbhai,Porbandar,BJP,10,Graduate,73003639,316000,,,,,,,,
415,Kuwar Harivansh Singh,Pratapgarh,Apna Dal,5,Graduate,383137665,149404112,,,,,,,,
416,Anil Shirole,Pune,BJP,2,Graduate,227615279,4781007,,,,,,,,
417,Pinaki Mishra,Puri,BJD,0,Graduate Professional,1370991203,19975839,,,,,,,,
418,Santosh Kumar,Purnia,JD(U),3,12th Pass,22316594,1406515,,,,,,,,
419,Mriganka Mahato,Puruliya,AITC,0,Graduate Professional,8895210,0,,,,,,,,
420,Radha Mohan Singh,Purba Champaran,BJP,0,Graduate,22558073,4270360,,,,,,,,
421,Sonia Gandhi,Rae Bareli,INC,0,Othe,92895288,0,,,,,,,,
422,B.V.Nayak,Raichur,INC,0,Graduate Professional,73502466,0,,,,,,,,
423,Geete Anant Gangaram,Raigad,SHS,0,10th Pass,44466487,23968087,,,,,,,,
424,Md. Salim,Raiganj,CPI(M),0,Post Graduate,7868013,0,,,,,,,,
425,Vishnudev Sai,Raigarh,BJP,0,10th Pass,21576220,1819686,,,,,,,,
426,Ramesh Bais,Raipur,BJP,0,12th Pass,73190135,274902,,,,,,,,
427,Murali Mohan Maganti,Rajahmundry,TDP,1,12th Pass,180822216,12245000,,,,,,,,
428,P.V.Midhun Reddy,Rajampet,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,225984036,8183862,,,,,,,,
429,Rodmal Nagar,Rajgarh,BJP,0,Graduate,28569974,3586473,,,,,,,,
430,Mohanbhai Kalyanjibhai Kundariya,Rajkot,BJP,0,8th Pass,39512950,2335530,,,,,,,,
431,Vijay Kumar Hansdak,Rajmahal,JMM,1,5th Pass,6863306,0,,,,,,,,
432,Abhishek Singh,Rajnandgaon,BJP,0,Graduate Professional,44093207,0,,,,,,,,
433,Hari Om Singh Rathore,Rajsamand,BJP,0,Graduate,188310824,2728752,,,,,,,,
434,Anwhar Raajhaa.A,Ramanathapuram,AIADMK,0,Graduate,33582876,2700000,,,,,,,,
435,Dr. Nepal Singh,Rampur,BJP,0,Doctorate,27136042,1614820,,,,,,,,
436,Krupal Balaji Tumane,Ramtek,SHS,1,Graduate,46564362,216000,,,,,,,,
437,Tapas Mandal,Ranaghat,AITC,0,Doctorate,8169115,2383416,,,,,,,,
438,Ramtahal Choudhary,Ranchi,BJP,0,10th Pass,10743950,0,,,,,,,,
439,Dileep Singh Bhuriya,Ratlam,BJP,0,10th Pass,12259882,0,,,,,,,,
440,Vinayak Bhaurao Raut,Ratnagiri - Sindhudurg,SHS,5,Post Graduate,44568629,2370842,,,,,,,,
441,Khadase Raksha Nikhil,Raver,BJP,0,Graduate,144222841,0,,,,,,,,
442,Janardan Mishra,Rewa,BJP,0,Graduate Professional,10156568,106977,,,,,,,,
443,Chhote Lal,Robertsganj,BJP,0,5th Pass,3687361,55313,,,,,,,,
444,Deepender Singh,Rohtak,INC,0,Post Graduate,358749354,39310300,,,,,,,,
445,Rathod Dipsinh Shankainh,Sabar Kantha,BJP,0,8th Pass,20700176,417585,,,,,,,,
446,Laxmi Narayan Yadav,Sagar,BJP,1,Graduate Professional,23962099,956348,,,,,,,,
447,Raghav Lakhanpal,Saharanpur,BJP,0,Post Graduate,35406431,0,,,,,,,,
448,Panneelvam.V,Salem,AIADMK,0,Graduate Professional,32268097,253282,,,,,,,,
449,Ravindra Kushawaha,Salempur,BJP,0,12th Pass,7134477,0,,,,,,,,
450,Ram Chandra Paswan,Samastipur,LJP,3,10th Pass,13058612,0,,,,,,,,
451,Nagendra Kumar Pradhan,Sambalpur,BJD,0,Graduate Professional,12796623,1461565,,,,,,,,
452,Satya Pal Singh,Sambhal,BJP,0,Post Graduate,19904379,0,,,,,,,,
453,Sanjaykaka Patil,Sangli,BJP,0,10th Pass,108791027,19198050,,,,,,,,
454,Bhagwant Mann,Sangrur,AAP,0,12th Pass,43057512,16281200,,,,,,,,
455,Sharad Tripathi,Sant Kabir Nagar,BJP,0,Post Graduate,3697671,71800,,,,,,,,
456,Rajiv Pratap Rudy,Saran (Chhapra),BJP,1,Post Graduate,62545997,1008658,,,,,,,,
457,Chhedi Paswan,Sasaram,BJP,0,Post Graduate,35776803,275000,,,,,,,,
458,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Satara,NCP,23,12th Pass,606089208,312941,,,,,,,,
459,Ganesh Singh,Satna,BJP,2,Post Graduate,37800000,0,,,,,,,,
460,Bandaru Dattatreya,Secunderabad,BJP,3,Graduate,98255148,405469,,,,,,,,
461,Dalpat Singh Paraste,Shahdol,BJP,0,Graduate Professional,5524870,0,,,,,,,,
462,Krishna Raj,Shahjahanpur,BJP,0,Post Graduate,16506411,3612812,,,,,,,,
463,Rama Devi,Sheohar,BJP,6,Graduate Professional,308591850,0,,,,,,,,
464,Vincent H. Pala,Shillong,INC,0,Graduate Professional,497108058,0,,,,,,,,
465,Virender Kashyap,Shimla,BJP,0,Post Graduate,5228095,0,,,,,,,,
466,B.S. Yeddyurappa,Shimoga,BJP,9,12th Pass,69746267,500000,,,,,,,,
467,Lokhande Sadashiv Kisan,Shirdi,SHS,1,10th Pass,38294539,1497168,,,,,,,,
468,Adhalrao Shivaji Dattatrey,Shirur,SHS,10,Othe,253880475,61810866,,,,,,,,
469,Daddan Mishra,Shrawasti,BJP,0,Post Graduate,20065527,228304,,,,,,,,
470,Riti Pathak,Sidhi,BJP,0,Post Graduate,33416561,0,,,,,,,,
471,Sumedha Nand Saraswati,Sikar,BJP,0,Othe,34311,0,,,,,,,,
472,Prem Das Rai,Sikkim,SDF,0,Post Graduate,32389223,0,,,,,,,,
473,Sushmita Dev,Silchar,INC,1,Post Graduate,87495844,12008613,,,,,,,,
474,Laxman Giluwa,Singhbhum,BJP,4,12th Pass,8094301,108145,,,,,,,,
475,Charanjeet Singh,Sirsa,INLD,0,10th Pass,8146887,3260000,,,,,,,,
476,Ram Kumar Sharma,Sitamarhi,Rashtriya Lok Samta Party,0,Post Graduate,9265000,82000,,,,,,,,
477,Rajesh Kumar Singh,Sitapur,BJP,0,Post Graduate,41418622,1265000,,,,,,,,
478,Pr Senthilnathan,Shivaganga,AIADMK,0,Graduate Professional,49050835,7459581,,,,,,,,
479,Om Prakash Yadav,Siwan,BJP,1,Graduate,2213023,1956467,,,,,,,,
480,Sharad Bansode,Solapur,BJP,1,Graduate Professional,60152887,7604375,,,,,,,,
481,Ramesh Kaushik,Sonipat,BJP,0,Graduate Professional,142840716,0,,,,,,,,
482,Ramesh Bidhuri,South Delhi,BJP,4,Graduate Professional,147493056,0,,,,,,,,
483,Adv. Narendra Keshav Sawaikar,South Goa,BJP,0,Graduate Professional,6260382,0,,,,,,,,
484,Kalyan Banerjee,Shrirampur,AITC,1,Graduate Professional,88512676,8582543,,,,,,,,
485,Rammohannaidu Kinjarapu,Srikakulam,TDP,0,Post Graduate,84173423,0,,,,,,,,
486,Tariq Hameed Karra,Srinagar,JKPDP,0,Graduate Professional,984556436,1500000,,,,,,,,
487,"Ramachandran, K.N. Thiru",Sriperumbudur,AIADMK,0,Post Graduate,936721057,80806268,,,,,,,,
488,Feroze Varun Gandhi,Sultanpur,BJP,0,Post Graduate,357318699,18119000,,,,,,,,
489,Jual Oram,Sundargarh,BJP,1,Othe,24202170,0,,,,,,,,
490,Ranjeet Ranjan,Supaul,INC,5,12th Pass,81242965,0,,,,,,,,
491,Jardosh Dahnaben Vikrambhai,Surat,BJP,0,Graduate,18038444,2020458,,,,,,,,
492,Fatepara Devajibhai Govindbhai,Surendranagar,BJP,1,Literate,11685000,0,,,,,,,,
493,Kamalbhan Singh,Surguja,BJP,0,Post Graduate,24773173,2995985,,,,,,,,
494,Suvendu Adhikari,Tamluk,AITC,2,Post Graduate,6480767,0,,,,,,,,
495,Mala Rajya Laxmi Shah,Tehri Garhwal,BJP,0,12th Pass,1662109875,14900000,,,,,,,,
496,Vasanthi.M,Tenkasi,AIADMK,0,Post Graduate,24014922,0,,,,,,,,
497,Ram Prasad Sarmah,Tezpur,BJP,0,Graduate Professional,6655300,0,,,,,,,,
498,Vichare Rajan Baburao,Thane,SHS,13,10th Pass,102091612,13054217,,,,,,,,
499,Parasuraman.K,Thanjavur,AIADMK,0,12th Pass,146049347,27954352,,,,,,,,
500,"Parthipan, R.",Theni,AIADMK,0,Graduate,22047681,869650,,,,,,,,
501,Dr. Shashi Tharoor,Thiruvananthapuram,INC,0,Doctorate,230275186,0,,,,,,,,
502,Jeyasingh Thiyagaraj Natterjee.J,Thoothukkudi,AIADMK,0,Post Graduate,9822294,0,,,,,,,,
503,C N Jayadevan,Thrissur,CPI,3,Post Graduate,20041642,294000,,,,,,,,
504,Dr. Virendra Kumar,Tikamgarh,BJP,0,Doctorate,8764635,0,,,,,,,,
505,P.Kumar S/O Palanivel,Tiruchirappalli,AIADMK,0,Graduate Professional,18522597,1917891,,,,,,,,
506,Prabakaran.K.R.P,Tirunelveli,AIADMK,0,Graduate Professional,2764500,0,,,,,,,,
507,Varaprasad Rao Velagapalli,Tirupati,Yuvajana Sramika Rythu Congress Party,0,Doctorate,129128388,3132962,,,,,,,,
508,V.Sathyabama,Tiruppur,AIADMK,2,Post Graduate,28108573,2475755,,,,,,,,
509,Venugopal. P. Dr.,Tiruvallur,AIADMK,0,Graduate Professional,28643502,1768538,,,,,,,,
510,Vanaroja R,Tiruvannamalai,AIADMK,0,Post Graduate,3700000,0,,,,,,,,
511,Sukhbir Singh Jaunapuria,Tonk - Sawai Madhopur,BJP,0,12th Pass,714124612,0,,,,,,,,
512,Jitendra Choudhury,Tripura East,CPI(M),0,12th Pass,11322979,2030773,,,,,,,,
513,Sankar Prasad Datta,Tripura West,CPI(M),1,Post Graduate,1320900,0,,,,,,,,
514,S.P.Muddahanumegowda,Tumkur,INC,0,Graduate Professional,30273812,0,,,,,,,,
515,Purno Agitok Sangma,Tura,NPP,0,Post Graduate,215134618,0,,,,,,,,
516,Arjunlal Meena,Udaipur,BJP,0,Post Graduate,17049951,8195866,,,,,,,,
517,Dr. Jitendra Singh,Udhampur,BJP,0,Graduate Professional,38464932,11881,,,,,,,,
518,Shobha Karandlaje,Udupi Chikmagalur,BJP,0,Post Graduate,72089452,38119792,,,,,,,,
519,Nityanand Rai,Ujiapur,BJP,1,Graduate,146743540,3965423,,,,,,,,
520,Chintamani Malviya,Ujjain,BJP,0,Doctorate,18888754,5483153,,,,,,,,
521,Sultan Ahmed,Uluberiya,AITC,0,Graduate,22792936,10878739,,,,,,,,
522,Swami Sachchidanand Hari Sakshi,Unnao,BJP,8,Doctorate,32137597,0,,,,,,,,
523,Anantkumar Hegde,Uttara Kannada,BJP,0,12th Pass,32367360,15139611,,,,,,,,
524,Mullappally Ramachandran,Vadakara,INC,0,Post Graduate,9225000,2160000,,,,,,,,
525,Narendra Modi,Vadodara,BJP,0,Post Graduate,15157582,0,,,,,,,,
526,Rama Kishore Singh,Vaishali,LJP,4,Graduate,21610218,3323006,,,,,,,,
527,Satish Dubey,Valmiki Nagar,BJP,3,10th Pass,6061576,626789,,,,,,,,
528,Dr. K.C.Patel,Valsad,BJP,0,Graduate Professional,131141867,2381344,,,,,,,,
529,Narendra Modi,Varanasi,BJP,0,Post Graduate,16591582,0,,,,,,,,
530,"Senguttuvan, B.",Vellore,AIADMK,0,Post Graduate,9197355,440478,,,,,,,,
531,Sushma Swaraj,Vidisha,BJP,0,Graduate Professional,175516422,6500000,,,,,,,,
532,Srinivas Kesineni,Vijayawada,TDP,3,10th Pass,1284122669,715462989,,,,,,,,
533,S. Rajendran,Viluppuram,AIADMK,0,Graduate,6200000,2371331,,,,,,,,
534,Radhakrishnan,Virudunagar,AIADMK,0,10th Pass,43736485,5273447,,,,,,,,
535,Dr. Kambhampati Hari Babu,Visakhapatnam,BJP,0,Doctorate,90103580,1854856,,,,,,,,
536,Ashok Gajapathi Raju Pusapati,Vizianagaram,TDP,0,10th Pass,39054905,0,,,,,,,,
537,Kadiyam Srihari,Warangal,T,6,Post Graduate,13495000,0,,,,,,,,
538,Ramdas Chandrabhanji Tadas,Wardha,BJP,5,10th Pass,33628998,1749314,,,,,,,,
539,M I Shanavas,Wayanad,INC,0,Post Graduate,27122055,7711000,,,,,,,,
540,Parvesh Sahib Singh,West Delhi,BJP,1,Post Graduate,107235461,26650000,,,,,,,,
541,Gawali Bhavana Pundlikrao,Yavatmal - Washim,SHS,4,Graduate,60886040,7368967,,,,,,,,
542,B.B.Patil,Zahirabad,T,0,Graduate,1023173039,83517670,,,,,,,,
